timestamp,session_id,page,source,device,duration,bounce
2025-08-14 09:02:04.745682,S0000000860,/,direct,mobile,35,0
2025-08-14 16:54:20.745682,S0000001871,/product,organic,tablet,107,0
2025-08-14 06:07:20.745682,S0000002955,/,organic,mobile,33,0
2025-08-14 11:46:27.745682,S0000003510,/,organic,desktop,36,0
2025-08-14 23:22:44.745682,S0000004566,/product/checkout,paid,mobile,68,0
2025-08-14 07:35:56.745682,S0000005600,/product/checkout,direct,desktop,6,0
2025-08-14 11:10:12.745682,S0000006454,/blog/article-2,direct,desktop,29,0
2025-08-14 10:03:06.745682,S0000007389,/,paid,desktop,110,0
2025-08-14 14:56:34.745682,S0000008957,/product/checkout,direct,desktop,50,0
2025-08-14 20:05:20.745682,S0000009724,/pricing,organic,mobile,26,0
2025-08-14 07:01:40.745682,S0000010492,/,direct,desktop,260,0
2025-08-14 23:24:52.745682,S0000011647,/,direct,mobile,78,0
2025-08-14 15:23:09.745682,S0000012489,/pricing,organic,mobile,58,0
2025-08-14 14:25:51.745682,S0000013573,/,direct,mobile,130,0
2025-08-14 06:53:59.745682,S0000014461,/product,direct,desktop,17,0
2025-08-14 04:42:15.745682,S0000015014,/,organic,desktop,135,0
2025-08-14 19:43:17.745682,S0000016095,/product,organic,mobile,46,0
2025-08-14 20:09:09.745682,S0000017159,/blog/article-2,referral,mobile,58,0
2025-08-14 05:23:42.745682,S0000018795,/product,organic,mobile,46,0
2025-08-14 09:00:36.745682,S0000019472,/,organic,desktop,33,0
2025-08-14 19:55:45.745682,S0000020258,/,paid,desktop,15,0
2025-08-14 23:02:08.745682,S0000021974,/,organic,mobile,31,0
2025-08-14 15:34:42.745682,S0000022563,/,referral,mobile,9,1
2025-08-14 12:04:25.745682,S0000023001,/blog/article-1,organic,desktop,143,0
2025-08-14 18:46:28.745682,S0000024729,/product/checkout,organic,mobile,86,0
2025-08-14 11:41:11.745682,S0000025293,/pricing,referral,mobile,46,0
2025-08-14 11:38:33.745682,S0000026200,/,organic,desktop,53,0
2025-08-15 00:40:11.745682,S0000027345,/blog/article-1,organic,mobile,11,0
2025-08-15 00:27:04.745682,S0000028550,/product/checkout,organic,desktop,7,1
2025-08-15 04:31:50.745682,S0000029297,/,referral,mobile,48,0
2025-08-14 05:12:58.745682,S0000030896,/,direct,tablet,60,0
2025-08-14 16:29:31.745682,S0000031815,/product,direct,desktop,131,1
2025-08-14 13:44:00.745682,S0000032419,/product,referral,desktop,6,0
2025-08-14 23:40:26.745682,S0000033895,/,paid,desktop,311,0
2025-08-14 15:19:56.745682,S0000034800,/blog/article-1,organic,desktop,81,0
2025-08-15 00:10:00.745682,S0000035032,/blog/article-2,paid,mobile,17,0
2025-08-14 17:47:42.745682,S0000036364,/blog/article-1,social,desktop,25,0
2025-08-14 15:41:59.745682,S0000037959,/product,organic,desktop,50,0
